Название;Родитель;Индекс;"Является городом?"
Колпашево;"Россия/Томская область";636460;1
Северск;"Россия/Томская область";636000;1
Стрежевой;"Россия/Томская область";634878;1
Томск;"Россия/Томская область";634000;1
Андреаполь;"Россия/Тверская область";172800;1
Бежецк;"Россия/Тверская область";171980;1
Белый;"Россия/Тверская область";172530;1
Бологое;"Россия/Тверская область";171070;1
Весьегонск;"Россия/Тверская область";171720;1
"Вышний Волочек";"Россия/Тверская область";171147;1
"Западная Двина";"Россия/Тверская область";172610;1
Зубцов;"Россия/Тверская область";172332;1
Калязин;"Россия/Тверская область";171571;1
Кашин;"Россия/Тверская область";171591;1
Кимры;"Россия/Тверская область";171500;1
Конаково;"Россия/Тверская область";171250;1
"Красный Холм";"Россия/Тверская область";171660;1
Кувшиново;"Россия/Тверская область";172110;1
Лихославль;"Россия/Тверская область";171210;1
Нелидово;"Россия/Тверская область";143628;1
Осташков;"Россия/Тверская область";172218;1
Ржев;"Россия/Тверская область";172380;1
Старица;"Россия/Тверская область";171360;1
Тверь;"Россия/Тверская область";170000;1
Торжок;"Россия/Тверская область";172000;1
Торопец;"Россия/Тверская область";172840;1
Удомля;"Россия/Тверская область";171841;1
Агрыз;Россия/Татарстан;422230;1
Азнакаево;Россия/Татарстан;423330;1
Альметьевск;Россия/Татарстан;423403;1
Арск;Россия/Татарстан;422000;1
Бавлы;Россия/Татарстан;423930;1
Болгар;Россия/Татарстан;422840;1
Бугульма;Россия/Татарстан;423230;1
Буинск;Россия/Татарстан;422430;1
Елабуга;Россия/Татарстан;423600;1
Заинск;Россия/Татарстан;423520;1
Зеленодольск;Россия/Татарстан;422540;1
Иннополис;Россия/Татарстан;420500;1
Казань;Россия/Татарстан;420000;1
Лаишево;Россия/Татарстан;422610;1
Лениногорск;Россия/Татарстан;423250;1
Мамадыш;Россия/Татарстан;422190;1
Менделеевск;Россия/Татарстан;423650;1
Мензелинск;Россия/Татарстан;423700;1
"Набережные Челны";Россия/Татарстан;423800;1
Нижнекамск;Россия/Татарстан;423544;1
Нурлат;Россия/Татарстан;423040;1
Тетюши;Россия/Татарстан;422370;1
Чистополь;Россия/Татарстан;422980;1
Абаза;Россия/Хакасия;655750;1
Абакан;Россия/Хакасия;655000;1
Саяногорск;Россия/Хакасия;655602;1
Сорск;Россия/Хакасия;655111;1
Черногорск;Россия/Хакасия;655151;1
Белоярский;"Россия/Ханты-Мансийский АО";412561;1
Когалым;"Россия/Ханты-Мансийский АО";628481;1
Лангепас;"Россия/Ханты-Мансийский АО";628671;1
Лянтор;"Россия/Ханты-Мансийский АО";628449;1
Мегион;"Россия/Ханты-Мансийский АО";628680;1
Нефтеюганск;"Россия/Ханты-Мансийский АО";628301;1
Нижневартовск;"Россия/Ханты-Мансийский АО";628600;1
Нягань;"Россия/Ханты-Мансийский АО";628180;1
Покачи;"Россия/Ханты-Мансийский АО";628660;1
Пыть-Ях;"Россия/Ханты-Мансийский АО";628380;1
Советский;"Россия/Ханты-Мансийский АО";157433;1
Сургут;"Россия/Ханты-Мансийский АО";446551;1
Урай;"Россия/Ханты-Мансийский АО";628280;1
Ханты-Мансийск;"Россия/Ханты-Мансийский АО";628000;1
Югорск;"Россия/Ханты-Мансийский АО";628260;1
Барыш;"Россия/Ульяновская область";433750;1
Димитровград;"Россия/Ульяновская область";433500;1
Инза;"Россия/Ульяновская область";433030;1
Новоульяновск;"Россия/Ульяновская область";433300;1
Сенгилей;"Россия/Ульяновская область";433380;1
Ульяновск;"Россия/Ульяновская область";432000;1
Алагир;"Россия/Северная Осетия";363240;1
Ардон;"Россия/Северная Осетия";363330;1
Беслан;"Россия/Северная Осетия";363020;1
Владикавказ;"Россия/Северная Осетия";362000;1
Дигора;"Россия/Северная Осетия";363410;1
Моздок;"Россия/Северная Осетия";362028;1
Алдан;"Россия/Саха (Якутия)";678900;1
Верхоянск;"Россия/Саха (Якутия)";678530;1
Вилюйск;"Россия/Саха (Якутия)";678200;1
Ленск;"Россия/Саха (Якутия)";617452;1
Нерюнгри;"Россия/Саха (Якутия)";678960;1
Нюрба;"Россия/Саха (Якутия)";678450;1
Олекминск;"Россия/Саха (Якутия)";678100;1
Покровск;"Россия/Саха (Якутия)";249718;1
Среднеколымск;"Россия/Саха (Якутия)";678790;1
Томмот;"Россия/Саха (Якутия)";678953;1
Удачный;"Россия/Саха (Якутия)";678188;1
Якутск;"Россия/Саха (Якутия)";677000;1
Александровск-Сахалинский;"Россия/Сахалинская область";694420;1
Анива;"Россия/Сахалинская область";694030;1
Долинск;"Россия/Сахалинская область";694051;1
Корсаков;"Россия/Сахалинская область";694020;1
Курильск;"Россия/Сахалинская область";694530;1
Макаров;"Россия/Сахалинская область";694140;1
Невельск;"Россия/Сахалинская область";694740;1
Оха;"Россия/Сахалинская область";694490;1
Поронайск;"Россия/Сахалинская область";694240;1
Северо-Курильск;"Россия/Сахалинская область";694550;1
Томари;"Россия/Сахалинская область";694820;1
Холмск;"Россия/Сахалинская область";694620;1
Шахтерск;"Россия/Сахалинская область";694910;1
Южно-Сахалинск;"Россия/Сахалинская область";693000;1
Александровск;"Россия/Пермский край";618320;1
Березники;"Россия/Пермский край";152183;1
Верещагино;"Россия/Пермский край";152334;1
Горнозаводск;"Россия/Пермский край";618820;1
Гремячинск;"Россия/Пермский край";618270;1
Губаха;"Россия/Пермский край";618250;1
Добрянка;"Россия/Пермский край";618740;1
Кизел;"Россия/Пермский край";618350;1
Красновишерск;"Россия/Пермский край";618590;1
Краснокамск;"Россия/Пермский край";617060;1
Кудымкар;"Россия/Пермский край";619000;1
Кунгур;"Россия/Пермский край";617470;1
Лысьва;"Россия/Пермский край";618441;1
Нытва;"Россия/Пермский край";617000;1
Оса;"Россия/Пермский край";612621;1
Оханск;"Россия/Пермский край";618100;1
Очер;"Россия/Пермский край";617140;1
Пермь;"Россия/Пермский край";614000;1
Соликамск;"Россия/Пермский край";618540;1
Усолье;"Россия/Пермский край";446733;1
Чайковский;"Россия/Пермский край";617760;1
Чердынь;"Россия/Пермский край";618601;1
Чермоз;"Россия/Пермский край";617040;1
Чернушка;"Россия/Пермский край";613573;1
Чусовой;"Россия/Пермский край";618200;1
Белинский;"Россия/Пензенская область";442250;1
Городище;"Россия/Пензенская область";142811;1
Заречный;"Россия/Пензенская область";442960;1
Каменка;"Россия/Пензенская область";141894;1
Кузнецк;"Россия/Пензенская область";442530;1
Кузнецк-12;"Россия/Пензенская область";442542;1
Кузнецк-8;"Россия/Пензенская область";442538;1
"Нижний Ломов";"Россия/Пензенская область";442150;1
Пенза;"Россия/Пензенская область";440000;1
Сердобск;"Россия/Пензенская область";442890;1
Спасск;"Россия/Пензенская область";442600;1
Сурск;"Россия/Пензенская область";442300;1
Болхов;"Россия/Орловская область";303140;1
Дмитровск;"Россия/Орловская область";303240;1
Ливны;"Россия/Орловская область";303850;1
Малоархангельск;"Россия/Орловская область";303369;1
Мценск;"Россия/Орловская область";303030;1
Новосиль;"Россия/Орловская область";303500;1
Орел;"Россия/Орловская область";181603;1
Астрахань;"Россия/Астраханская область";414000;1
Ахтубинск;"Россия/Астраханская область";416500;1
Знаменск;"Россия/Астраханская область";238200;1
Камызяк;"Россия/Астраханская область";416340;1
Нариманов;"Россия/Астраханская область";416111;1
Харабали;"Россия/Астраханская область";416009;1
Агидель;Россия/Башкортостан;452920;1
Баймак;Россия/Башкортостан;453630;1
Белебей;Россия/Башкортостан;452000;1
Белорецк;Россия/Башкортостан;453500;1
Бирск;Россия/Башкортостан;452450;1
Давлеканово;Россия/Башкортостан;453400;1
Дюртюли;Россия/Башкортостан;452320;1
Ишимбай;Россия/Башкортостан;453200;1
Кумертау;Россия/Башкортостан;453300;1
Межгорье;Россия/Башкортостан;453570;1
Мелеуз;Россия/Башкортостан;453850;1
Нефтекамск;Россия/Башкортостан;452680;1
Октябрьский;Россия/Башкортостан;140060;1
Салават;Россия/Башкортостан;453250;1
Сибай;Россия/Башкортостан;453830;1
Стерлитамак;Россия/Башкортостан;453100;1
Туймазы;Россия/Башкортостан;452750;1
Уфа;Россия/Башкортостан;450000;1
Учалы;Россия/Башкортостан;453700;1
Янаул;Россия/Башкортостан;452800;1
Алексеевка;"Россия/Белгородская область";181309;1
Белгород;"Россия/Белгородская область";308000;1
Бирюч;"Россия/Белгородская область";309910;1
Валуйки;"Россия/Белгородская область";309990;1
Грайворон;"Россия/Белгородская область";309370;1
Губкин;"Россия/Белгородская область";309180;1
Короча;"Россия/Белгородская область";309210;1
"Новый Оскол";"Россия/Белгородская область";309626;1
"Старый Оскол";"Россия/Белгородская область";309500;1
Строитель;"Россия/Белгородская область";309062;1
Шебекино;"Россия/Белгородская область";309290;1
Барабинск;"Россия/Новосибирская область";630833;1
Бердск;"Россия/Новосибирская область";633000;1
Болотное;"Россия/Новосибирская область";633340;1
Искитим;"Россия/Новосибирская область";633200;1
Карасук;"Россия/Новосибирская область";632860;1
Каргат;"Россия/Новосибирская область";632400;1
Куйбышев;"Россия/Новосибирская область";404146;1
Купино;"Россия/Новосибирская область";309263;1
Новосибирск;"Россия/Новосибирская область";630000;1
Обь;"Россия/Новосибирская область";633100;1
Татарск;"Россия/Новосибирская область";216156;1
Тогучин;"Россия/Новосибирская область";633450;1
Черепаново;"Россия/Новосибирская область";461227;1
Чулым;"Россия/Новосибирская область";632550;1
Чулым-3;"Россия/Новосибирская область";632553;1
Боровичи;"Россия/Новгородская область";174400;1
Валдай;"Россия/Новгородская область";175400;1
"Великий Новгород";"Россия/Новгородская область";173000;1
"Малая Вишера";"Россия/Новгородская область";174260;1
Окуловка;"Россия/Новгородская область";174350;1
Пестово;"Россия/Новгородская область";174510;1
Сольцы;"Россия/Новгородская область";175040;1
"Сольцы 2";"Россия/Новгородская область";175042;1
"Старая Русса";"Россия/Новгородская область";175200;1
Холм;"Россия/Новгородская область";152876;1
Чудово;"Россия/Новгородская область";174210;1
Алапаевск;"Россия/Свердловская область";624600;1
Арамиль;"Россия/Свердловская область";624000;1
Артемовский;"Россия/Свердловская область";623780;1
Асбест;"Россия/Свердловская область";624260;1
Богданович;"Россия/Свердловская область";623530;1
"Верхний Тагил";"Россия/Свердловская область";0;1
"Верхняя Пышма";"Россия/Свердловская область";624090;1
"Верхняя Салда";"Россия/Свердловская область";624760;1
"Верхняя Тура";"Россия/Свердловская область";0;1
Верхотурье;"Россия/Свердловская область";624380;1
Волчанск;"Россия/Свердловская область";0;1
Дегтярск;"Россия/Свердловская область";0;1
Екатеринбург;"Россия/Свердловская область";620000;1
Ивдель;"Россия/Свердловская область";624445;1
Ирбит;"Россия/Свердловская область";623850;1
Каменск-Уральский;"Россия/Свердловская область";623400;1
Камышлов;"Россия/Свердловская область";624860;1
Карпинск;"Россия/Свердловская область";624930;1
Качканар;"Россия/Свердловская область";624350;1
Кировград;"Россия/Свердловская область";624140;1
Краснотурьинск;"Россия/Свердловская область";624440;1
Красноуральск;"Россия/Свердловская область";461348;1
Красноуфимск;"Россия/Свердловская область";623300;1
Кушва;"Россия/Свердловская область";624300;1
Лесной;"Россия/Свердловская область";140451;1
Михайловск;"Россия/Свердловская область";356240;1
Невьянск;"Россия/Свердловская область";624191;1
"Нижние Серги";"Россия/Свердловская область";623090;1
"Нижние Серги-3";"Россия/Свердловская область";623093;1
"Нижний Тагил";"Россия/Свердловская область";622000;1
"Нижняя Салда";"Россия/Свердловская область";624740;1
"Нижняя Тура";"Россия/Свердловская область";624220;1
"Новая Ляля";"Россия/Свердловская область";624400;1
Новоуральск;"Россия/Свердловская область";462232;1
Первоуральск;"Россия/Свердловская область";623100;1
Полевской;"Россия/Свердловская область";623380;1
Ревда;"Россия/Свердловская область";184580;1
Реж;"Россия/Свердловская область";623750;1
Североуральск;"Россия/Свердловская область";624480;1
Серов;"Россия/Свердловская область";624980;1
Среднеуральск;"Россия/Свердловская область";0;1
"Сухой Лог";"Россия/Свердловская область";624800;1
Сысерть;"Россия/Свердловская область";624021;1
Тавда;"Россия/Свердловская область";623950;1
Талица;"Россия/Свердловская область";155456;1
Туринск;"Россия/Свердловская область";623900;1
Исилькуль;"Россия/Омская область";646020;1
Калачинск;"Россия/Омская область";646900;1
Называевск;"Россия/Омская область";646100;1
Омск;"Россия/Омская область";644000;1
Тара;"Россия/Омская область";646530;1
Тюкалинск;"Россия/Омская область";646330;1
Абдулино;"Россия/Оренбургская область";461740;1
Бугуруслан;"Россия/Оренбургская область";461630;1
Бузулук;"Россия/Оренбургская область";461040;1
Гай;"Россия/Оренбургская область";462631;1
Кувандык;"Россия/Оренбургская область";462240;1
Медногорск;"Россия/Оренбургская область";462271;1
Новотроицк;"Россия/Оренбургская область";462351;1
Оренбург;"Россия/Оренбургская область";460000;1
Орск;"Россия/Оренбургская область";462400;1
Соль-Илецк;"Россия/Оренбургская область";461500;1
Сорочинск;"Россия/Оренбургская область";461900;1
Ясный;"Россия/Оренбургская область";164628;1
Алатырь;Россия/Чувашия;429805;1
Канаш;Россия/Чувашия;422584;1
Козловка;Россия/Чувашия;216527;1
"Мариинский Посад";Россия/Чувашия;429570;1
Новочебоксарск;Россия/Чувашия;429950;1
Цивильск;Россия/Чувашия;429900;1
Чебоксары;Россия/Чувашия;428000;1
Шумерля;Россия/Чувашия;429120;1
Ядрин;Россия/Чувашия;429060;1
Ардатов;Россия/Мордовия;431860;1
Инсар;Россия/Мордовия;431430;1
Ковылкино;Россия/Мордовия;431350;1
Рузаевка;Россия/Мордовия;431440;1
Саранск;Россия/Мордовия;430000;1
Темников;Россия/Мордовия;431220;1
Апатиты;"Россия/Мурманская область";184200;1
Гаджиево;"Россия/Мурманская область";184670;1
Заозерск;"Россия/Мурманская область";184310;1
Заполярный;"Россия/Мурманская область";184430;1
Кандалакша;"Россия/Мурманская область";184012;1
Ковдор;"Россия/Мурманская область";184141;1
Кола;"Россия/Мурманская область";184380;1
Мончегорск;"Россия/Мурманская область";184505;1
Мурманск;"Россия/Мурманская область";183000;1
Оленегорск;"Россия/Мурманская область";184530;1
Оленегорск-1;"Россия/Мурманская область";184531;1
Оленегорск-2;"Россия/Мурманская область";184532;1
Островной;"Россия/Мурманская область";184640;1
"Полярные Зори";"Россия/Мурманская область";184230;1
Полярный;"Россия/Мурманская область";184650;1
Североморск;"Россия/Мурманская область";184601;1
Снежногорск;"Россия/Мурманская область";184682;1
Нарьян-Мар;"Россия/Ненецкий АО";166000;1
Арзамас;"Россия/Нижегородская область";607220;1
Балахна;"Россия/Нижегородская область";399221;1
Богородск;"Россия/Нижегородская область";168057;1
Бор;"Россия/Нижегородская область";152281;1
Ветлуга;"Россия/Нижегородская область";606860;1
Володарск;"Россия/Нижегородская область";606070;1
Ворсма;"Россия/Нижегородская область";606120;1
Выкса;"Россия/Нижегородская область";607060;1
Горбатов;"Россия/Нижегородская область";606125;1
Городец;"Россия/Нижегородская область";188286;1
Дзержинск;"Россия/Нижегородская область";606000;1
Заволжье;"Россия/Нижегородская область";150027;1
Княгинино;"Россия/Нижегородская область";242435;1
Кстово;"Россия/Нижегородская область";607650;1
Кулебаки;"Россия/Нижегородская область";607010;1
Лукоянов;"Россия/Нижегородская область";607800;1
Лысково;"Россия/Нижегородская область";457150;1
Навашино;"Россия/Нижегородская область";607100;1
"Нижний Новгород";"Россия/Нижегородская область";603000;1
Павлово;"Россия/Нижегородская область";187323;1
Первомайск;"Россия/Нижегородская область";431530;1
Перевоз;"Россия/Нижегородская область";393525;1
Саров;"Россия/Нижегородская область";607180;1
Семенов;"Россия/Нижегородская область";606650;1
Сергач;"Россия/Нижегородская область";607510;1
Урень;"Россия/Нижегородская область";606800;1
Чкаловск;"Россия/Нижегородская область";606540;1
Шахунья;"Россия/Нижегородская область";606910;1
Азов;"Россия/Ростовская область";346780;1
Аксай;"Россия/Ростовская область";346720;1
Батайск;"Россия/Ростовская область";346880;1
"Белая Калитва";"Россия/Ростовская область";347040;1
Волгодонск;"Россия/Ростовская область";346686;1
Гуково;"Россия/Ростовская область";346399;1
Донецк;"Россия/Ростовская область";346330;1
Зверево;"Россия/Ростовская область";346310;1
Зерноград;"Россия/Ростовская область";347740;1
Каменск-Шахтинский;"Россия/Ростовская область";347800;1
Константиновск;"Россия/Ростовская область";347250;1
"Красный Сулин";"Россия/Ростовская область";346350;1
Миллерово;"Россия/Ростовская область";346130;1
Морозовск;"Россия/Ростовская область";347210;1
Новочеркасск;"Россия/Ростовская область";346400;1
Новошахтинск;"Россия/Ростовская область";346900;1
Пролетарск;"Россия/Ростовская область";347540;1
Ростов-на-Дону;"Россия/Ростовская область";344000;1
Сальск;"Россия/Ростовская область";347630;1
Семикаракорск;"Россия/Ростовская область";346630;1
Таганрог;"Россия/Ростовская область";347900;1
Цимлянск;"Россия/Ростовская область";347320;1
Шахты;"Россия/Ростовская область";346500;1
Гаврилов-Ям;"Россия/Ярославская область";0;1
Данилов;"Россия/Ярославская область";152070;1
Любим;"Россия/Ярославская область";152470;1
Мышкин;"Россия/Ярославская область";152830;1
Переславль-Залесский;"Россия/Ярославская область";152020;1
Пошехонье;"Россия/Ярославская область";152850;1
Ростов;"Россия/Ярославская область";152150;1
Рыбинск;"Россия/Ярославская область";152900;1
Тутаев;"Россия/Ярославская область";152300;1
Углич;"Россия/Ярославская область";152610;1
Ярославль;"Россия/Ярославская область";150000;1
Алупка;Россия/Крым;0;1
Алушта;Россия/Крым;298500;1
Армянск;Россия/Крым;296012;1
Бахчисарай;Россия/Крым;298400;1
Джанкой;Россия/Крым;296100;1
Евпатория;Россия/Крым;297402;1
Керчь;Россия/Крым;298233;1
Красноперекопск;Россия/Крым;296000;1
Саки;Россия/Крым;296500;1
Симферополь;Россия/Крым;295000;1
"Старый Крым";Россия/Крым;297345;1
Судак;Россия/Крым;298000;1
Феодосия;Россия/Крым;297183;1
Щелкино;Россия/Крым;298213;1
Ялта;Россия/Крым;298600;1
Зеленоград;Россия/Москва;0;1
Московский;Россия/Москва;142784;1
Троицк;Россия/Москва;142190;1
Щербинка;Россия/Москва;142170;1
Колпино;Россия/Санкт-Петербург;196650;1
"Красное Село";Россия/Санкт-Петербург;0;1
Кронштадт;Россия/Санкт-Петербург;197760;1
Ломоносов;Россия/Санкт-Петербург;198411;1
Петергоф;Россия/Санкт-Петербург;0;1
Пушкин;Россия/Санкт-Петербург;196601;1
Сестрорецк;Россия/Санкт-Петербург;197701;1
